문자열 함수

함수명         기능

len(a)               문자열의 문자 개수를 반환

a.upper()            대문자로 변환
a.lower()            소문자로 변환

a.capitalize()       첫 문자를 대문자로 변환
a.title()            제목 형태로 변환 (단어별 첫글자 대문자로 변환)

a.count('abc')       문자열 a에 'abc'가 포함된 개수를 반환

a.find('abc')        문자열 a에 'abc'가 들어간 위치(오프셋) 반환
a.rfind('abc')       문자열 a에 'abc'가 들어간 위치(오프셋) 반환 (오른쪽 부터 찾기)

a.startwith('abc')   문자열 a에 'abc'로 시작하는 문자열 여부 반환
a.endwith('abc')     문자열 a에 'abc'로 끝나는 문자열 여부 반환

a.strip()            좌우 공백 제거
a.rstrip()           오른쪽 공백 제거
a.lstrip()           왼쪽 공백 제거

a.split()            공백을 기준으로 문자열을 자르고 리스트로 반환
a.split('abc')       'abc'를 기준으로 문자열을 자르고 리스트로 반환

a.isdigit()          문자열이 숫자인지 여부 반환
a.islower()          문자열이 소문자인지 여부 반환
a.isupper()          문자열이 대문자인지 여부 반환
